Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:|B|Přibližně 60 stlačení za minutu.|Přibližně 100 stlačení za minutu.|Přibližně 160 stlačení za minutu.
Rychlou zdravotnickou záchranou službu přivoláme na telefonním čísle:|A|155.|150.|158.
Při úrazu hlavy nejvíce poraněného ohrožuje:|B|Viditelné krvácení.|Následné bezvědomí.|Zlomeniny kostí lebky.
Zelená karta:|B|osvědčuje zaplacení dálničního poplatku.|je mezinárodní osvědčení prokazující skutečnost, že k vozidlu byla uzavřena smlouva o pojištění odpovědnosti za škodu způsobenou provozem vozidla uvedeného v tomto osvědčení.|je doklad o kontrole měření emisí.
Podél nástupního ostrůvku nebo ochranného ostrůvku se jezdí:|C|vpravo i vlevo, pokud je nástupní ostrůvek nebo ochranný ostůvek ve stejné úrovni s vozovkou.|vpravo; vlevo se smí jet jen při předjíždění nebo odbočování vlevo.|vpravo; vlevo se smí jet jen tehdy, brání-li jízdě vpravo překážka nebo jestliže je to bezpečnější s ohledem na rozměry vozidla nebo nákladu.
Přejíždět z jednoho jízdního pruhu do druhého smí řidič jen tehdy:|A|neohrozí-li a neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; přitom musí dávat znamení o změně směru jízdy.|neohrozí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.|neohrozí-li a neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.
Za kombinovanou dopravu se považuje systém přepravy při kterém:|A|je zboží přepravováno v jedné a téže přepravní jednotce, využije se též železniční a vodní doprava.|osoby využívají různých druhů dopravních prostředků, např. autobusu nebo vlaku.|se jedná o dopravní obslužnost území ve vnitrostátní silniční dopravě.
Snížit spotřebu paliva vozidla lze:|A|dodržováním tlaku vzduchu v pneumatikách, který je předepsaný výrobcem.|použitím dražšího paliva.|nepoužíváním nejvyššího převodového stupně.
Technickou prohlídkou silničního vozidla se rozumí:|A|kontrola technického stavu, činnosti ústrojí a zařízení silničního vozidla ve stanici STK.|kontrola vylepení nálepky osvědčující technickou způsobilosti vozidla.|kontrola vylepení nálepky osvědčující měření emisí.
"Řidič" je:|C|pouze ten, kdo řídí motorové vozidlo.|ten, kdo řídí motorové nebo nemotorové vozidlo, ne však tramvaj.|ten, kdo řídí motorové nebo nemotorové vozidlo anebo tramvaj.
"Chodec":|B|Je výhradně kráčející osoba.|Je i osoba, která se pohybuje na kolečkových bruslích nebo obdobném sportovním vybavení.|Není osoba, která se pohybuje na lyžích, kolečkových bruslích nebo obdobném sportovním vybavení.
"Zastavit" znamená:|B|uvést vozidlo do klidu před světelným signálem nebo železničním přejezdem.|uvést vozidlo do klidu na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.|uvést vozidlo do klidu na dobu nutnou k vyřízení osobních nebo pracovních záležitostí řidiče nebo přepravovaných osob.
"Zastavit" znamená:|C|uvést vozidlo do klidu na dobu nepřesahující 5 minut.|uvést vozidlo do klidu z důvodu nezávislého na vůli řidiče (před světelnými signály, železničním přejezdem apod.).|uvést vozidlo do klidu na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.
"Zastavit" znamená:|A|uvést vozidlo do klidu na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.|zastavit vozidlo z důvodu dávání přednosti chodcům na vyznačených přechodech pro chodce nebo vozidlům na křižovatce.|uvést vozidlo do klidu na dobu nejvýše 10 minut.
"Obec":|C|je území vyznačené v mapě, musí mít název a je označeno dopravní značkou "Nejvyšší dovolená rychlost".|je zastavěné území, jehož začátek a konec je na pozemní komunikaci označen příslušnými dopravními značkami,které se vždy umísťují na účelových komunikacích.|je zastavěné území, jehož začátek a konec je na pozemní komunikaci označen příslušnými dopravními značkami; na účelových komunikacích se značky neosazují.
"Zastavit vozidlo" znamená:|B|uvést vozidlo do klidu nad dobu povolenou pro zastavení.|přerušit jízdu z důvodu nezávislého na vůli řidiče.|uvést vozidlo do klidu pro neprodlené nastoupení nebo vystoupení přepravovaných osob.
"Zastavit vozidlo" znamená:|A|přerušit jízdu z důvodu nezávislého na vůli řidiče.|přerušit jízdu pro nastoupení a vystoupení přepravovaných osob, složení nebo naložení nákladu.|zastavit na dobu delší než 3 minuty.
"Dát přednost v jízdě" znamená:|C|povinnost řidiče vždy zastavit vozidlo, jestliže do křižovatky přijíždí po hlavní pozemní komunikaci motorové vozidlo nebo tramvaj; nemotorovým vozidlům přednost v jízdě nedává.|povinnost řidiče nezahájit jízdu nebo jízdní úkon nebo v nich nepokračovat pouze na křižovatkách rozlišených dopravními značkami.|povinnost řidiče nezahájit jízdu nebo jízdní úkon nebo v nich nepokračovat, jestliže by řidič, který má přednost v jízdě, musel náhle změnit směr nebo rychlost jízdy.
"Silnice pro motorová vozidla":|C|je každá pozemní komunikace s výjimkou dálnic.|je silnice označená dopravní značkou "Rychlostní komunikace".|je pozemní komunikace označená dopravní značkou "Silnice pro motorová vozidla".
"Silnice pro motorová vozidla":|A|je pozemní komunikace označená dopravní značkou "Silnice pro motorová vozidla".|je pozemní komunikace označená dopravní značkou "Nejvyšší dovolená rychlost".|je pozemní komunikace, kterou nemotorová vozidla smějí užívat pouze ve stanovené době.
"Silnice pro motorová vozidla":|B|je místní pozemní komunikace označená dopravní značkou "Dálnice".|je pozemní komunikace označená dopravní značkou "Silnice pro motorová vozidla".|je účelová pozemní komunikace určená pro rychlou jízdu motorových vozidel.
"Připojovací pruh":|C|je jízdní pruh připojený pro předjíždění nemotorových vozidel.|je přídatný jízdní pruh určený pro vyjíždění z průběžného jízdního pruhu.|je přídatný jízdní pruh určený pro zařazování vozidel do jízdního proudu průběžného pruhu.
"Připojovací pruh":|A|je přídatný jízdní pruh určený pro zařazování vozidel do jízdního proudu průběžného pruhu.|je jízdní pruh, připojený pro zastavení nebo nouzové zastavení.|je přídatný jízdní pruh určený pro bezpečné otáčení vozidel.
"Připojovací pruh":|B|je jízdní pruh, připojený mezi pravý a levý jízdní pruh, určený pro předjíždění vozidel na přehledných místech pozemní komunikace.|je přídatný jízdní pruh určený pro zařazování vozidel do jízdního proudu průběžného pruhu.|je jízdní pruh, připojený pro bezpečné couvání a otáčení nebo zastavení a stání.
"Křižovatka":|B|je místo, v němž se protínají nebo spojují pozemní komunikace; za křižovatku se považuje i vyústění polní nebo lesní cesty.|je místo, v němž se pozemní komunikace protínají nebo spojují; za křižovatku se nepovažuje vyústění polní nebo lesní cesty nebo jiné účelové komunikace na jinou pozemní komunikaci.|je místo, v němž se protínají nebo spojují dvě pozemní komunikace; za křižovatku se nepovažuje místo, které není označeno dopravní značkou "Křižovatka".
"Křižovatka":|A|je místo, v němž se pozemní komunikace protínají nebo spojují; za křižovatku se nepovažuje vyústění polní nebo lesní cesty nebo jiné účelové komunikace na jinou pozemní komunikaci.|je místo, v němž se protínají nebo spojují nejvýše tři pozemní komunikace; za křižovatku se považuje i vyústění polní nebo lesní cesty.|je místo, v němž se protínají pozemní komunikace; za křižovatku se nepovažuje místo, kde se pozemní komunikace spojují.
"Křižovatka":|B|je místo, v němž se pozemní komunikace protínají nebo spojují; za křižovatku se nepovažuje kruhový objezd.|je místo, v němž se pozemní komunikace protínají nebo spojují; za křižovatku se nepovažuje vyústění polní nebo lesní cesty nebo jiné účelové komunikace na jinou pozemní komunikaci.|je místo, v němž se spojují nejvýše dvě pozemní komunikace; za křižovatku se nepovažuje místo, kde se pozemní komunikace protínají.
"Tramvajový pás":|B|není součástí pozemní komunikace.|je část pozemní komunikace určená především pro provoz tramvají.|je část pozemní komunikace vždy zvýšená nad úroveň vozovky.
"Tramvajový pás":|A|je část pozemní komunikace určená především pro provoz tramvají.|je část pozemní komunikace určená pro provoz tramvají; za tramvajový pás se nepovažuje pouze jedna kolej pro oba směry jízdy.|je součástí pozemní komunikace, která je vždy označena jako hlavní pozemní komunikace.
"Obec":|B|je území od první stavby do ukončení obce označené dopravní značkou "Konec nejvyšší dovolené rychlosti".|je zastavěné území, jehož začátek a konec je na pozemní komunikaci označen příslušnými dopravními značkami; na účelových komunikacích se značky neosazují.|je zastavěné území, označené dopravní značkou "Zóna s dopravním omezením" a dopravní značkou "Konec zóny s dopravním omezením".
"Doklad totožnosti":|B|je každý doklad, na kterém je uvedeno jméno, příjmení a trvalý pobyt.|je doklad, kterým občan České republiky nebo cizinec prokazuje svoji totožnost podle zvláštního právního předpisu.|je pouze občanský průkaz.
"Doklad totožnosti":|C|je každý doklad, na kterém je fotografie držitele tohoto dokladu.|je pouze občanský průkaz, kterým občan České republiky nebo cizinec prokazuje svoji totožnost.|je doklad, kterým občan České republiky nebo cizinec prokazuje svoji totožnost podle zvláštního právního předpisu.
"Nemotorové vozidlo" je:|C|Pouze přípojné a potahové vozidlo.|Pouze ruční vozík nebo jízdní kolo.|Přípojné vozidlo a vozidlo pohybující se pomocí lidské nebo zvířecí síly, například jízdní kolo, ruční vozík nebo potahové vozidlo.
"Přejezd pro cyklisty":|A|je místo na pozemní komunikaci určené pro přejíždění cyklistů přes pozemní komunikaci vyznačené příslušnou dopravní značkou.|je místo na pozemní komunikaci určené pro přejíždění cyklistů přes silnici pro motorová vozidla.|je vždy mimo úroveň vozovky.
"Řidič" je:|A|ten, kdo řídí motorové nebo nemotorové vozidlo anebo tramvaj.|ten, kdo řídí pouze motorové vozidlo a trolejbus.|ten, kdo řídí motorové nebo nemotorové vozidlo, ne však tramvaj nebo trolejbus.
"Řidič" je:|C|ten, kdo řídí pouze motorové vozidlo a tramvaj.|pouze ten, kdo řídí motorové vozidlo; za řidiče se nepovažuje ten, kdo řídí nemotorové vozidlo nebo tramvaj.|ten, kdo řídí motorové nebo nemotorové vozidlo anebo tramvaj.
"Vozidlo":|B|je pouze motorové vozidlo, poháněné vlastní pohonnou jednotkou.|je motorové vozidlo, nemotorové vozidlo nebo tramvaj.|je každé vozidlo s výjimkou tramvaje.
"Nemotorové vozidlo":|B|Je pouze jízdní kolo nebo ruční vozík.|Je přípojné vozidlo a vozidlo pohybující se pomocí lidské nebo zvířecí síly, například jízdní kolo, ruční vozík nebo potahové vozidlo|Je vozidlo pohybující se pomocí lidské nebo zvířecí síly, například jízdní kolo nebo ruční vozík; s výjimkou potahového a přípojného vozidla.
"Chodec":|A|Je i osoba, která vede psa.|Není osoba, která se pohybuje pomocí ručního nebo motorového vozíku pro invalidy.|Není osoba, která se pohybuje na kolečkových bruslích nebo obdobném sportovním vybavení.
"Účastník provozu na pozemních komunikacích":|B|je pouze řidič motorových vozidel a chodec.|je každý, kdo se přímým způsobem účastní provozu na pozemních komunikacích.|je každý, kdo se účastní provozu na pozemních komunikacích s výjimkou dětí.
"Vozka":|A|je řidič, který řídí potahové vozidlo.|se nepovažuje za řidiče.|řídí zvláštní vozidlo a nemusí dodržovat některá ustanovení zákona.
"Motorové vozidlo":|C|je pouze vozidlo poháněné vlastním motorem.|je vozidlo poháněné vlastní pohonnou jednotkou, tramvaj a trolejbus.|je nekolejové vozidlo poháněné vlastní pohonnou jednotkou a trolejbus.
"Motorové vozidlo":|A|je nekolejové vozidlo poháněné vlastní pohonnou jednotkou a trolejbus.|je vozidlo poháněné vlastní pohonnou jednotkou, ne však trolejbus.|je vozidlo poháněné vlastní pohonnou jednotkou a tramvaj.
"Jízdní souprava":|A|je souprava složená z jednoho nebo více motorových vozidel a jednoho nebo více přípojných vozidel.|je složená z jednoho motorového vozidla s tažným zařízením.|je souprava více přípojných vozidel.
"Jízdní souprava":|C|musí být složena vždy jen z jednoho motorového vozidla a jednoho přípojného vozidla.|nemůže být složena z více než jednoho motorového a dvou přípojných vozidel.|je souprava složená z jednoho nebo více motorových vozidel a jednoho nebo více přípojných vozidel.
"Stát" znamená:|C|uvést vozidlo do klidu na dobu více než 30 minut.|uvést vozidlo do klidu na dobu neurčitou.|uvést vozidlo do klidu nad dobu povolenou pro zastavení.
"Stát" znamená:|C|zastavit na dobu přesahující 10 minut.|zastavit vozidlo na vyhrazeném parkovišti.|uvést vozidlo do klidu nad dobu povolenou pro zastavení.
"Stát" znamená:|A|uvést vozidlo do klidu nad dobu povolenou pro zastavení.|zastavit vozidlo u pravého okraje vozovky.|zastavit před světelným signálem nebo železničním přejezdem.
"Zastavit vozidlo" znamená:|B|přerušit jízdu z důvodů vyvolaných provozem na pozemních komunikacích, maximálně však na dobu 3 minut.|přerušit jízdu z důvodu nezávislého na vůli řidiče.|uvést vozidlo do klidu nad dobu povolenou pro stání.
"Dálnice":|B|je každá pozemní komunikace o třech nebo více jízdních pruzích vyznačených na vozovce v jednom směru jízdy.|je pozemní komunikace označená dopravní značkou "Dálnice".|je pozemní komunikace označená dopravní značkou "Dálnice" nebo dopravní značkou "Silnice pro motorová vozidla".
"Dálnice":|A|je pozemní komunikace označená dopravní značkou "Dálnice".|je pozemní komunikace o více než dvou jízdních pruzích vyznačených na vozovce v jednom směru jízdy; je označena dopravní značkou "Nejvyšší dovolená rychlost".|je pozemní komunikace označená dopravní značkou "Silnice I. třídy".
"Jízdní pruh" je část vozovky:|C|vždy vyznačená vodorovnou dopravní značkou.|široká nejméně 3,5 m.|dovolující jízdu vozidel v jednom jízdním proudu za sebou.
"Krajnice":|B|je část vozovky, na kterou je ve všech případech zakázáno vjíždět.|je část povrchu pozemní komunikace ležící mezi okrajem přilehlého jízdního pruhu a hranou koruny pozemní komunikace, skládá se zpravidla ze zpevněné a nezpevněné části.|je část povrchu pozemní komunikace, která je vždy označena dopravní značkou "Nebezpečná krajnice".
"Krajnice":|A|je část povrchu pozemní komunikace ležící mezi okrajem přilehlého jízdního pruhu a hranou koruny pozemní komunikace, skládá se zpravidla ze zpevněné a nezpevněné části.|je část povrchu pozemní komunikace, která je určena pro povolené předjíždění vpravo.|je vždy nezpevněná část vozovky, na kterou je zakázáno vjíždět.
"Krajnice":|B|je část povrchu pozemní komunikace určená výhradně pro jízdu nemotorových vozidel.|je část povrchu pozemní komunikace ležící mezi okrajem přilehlého jízdního pruhu a hranou koruny pozemní komunikace, skládá se zpravidla ze zpevněné a nezpevněné části.|je vždy zpevněná část vozovky mezi okrajem přilehlého jízdního pruhu a hranou koruny vozovky, určená pro zastavení, otáčení a předjíždění vpravo.
"Krajnice":|B|je část povrchu pozemní komunikace při pravém nebo levém okraji jízdního pruhu.|je část povrchu pozemní komunikace ležící mezi okrajem přilehlého jízdního pruhu a hranou koruny pozemní komunikace, skládá se zpravidla ze zpevněné a nezpevněné části.|je vždy zpevněná část vozovky při pravém okraji pozemní komunikace, na které je zakázána jízda nemotorových vozidel.
"Průběžný pruh":|A|je jízdní pruh probíhající v původním směru (bez odbočení) křižovatkou nebo v místě, kde se mění počet jízdních pruhů.|je střední jízdní pruh tam, kde jsou na vozovce vyznačeny alespoň tři jízdní pruhy v jednom směru jízdy.|je jízdní pruh, který je po ukončení znovu obnoven a vyznačen na vozovce.
"Průběžný pruh":|C|je jízdní pruh označený svislou dopravní značkou "Okruh" nebo "Změna směru okruhu".|je jízdní pruh probíhající obcí od jejího začátku až do ukončení dopravní značkou "Konec obce".|je jízdní pruh probíhající v původním směru (bez odbočení) křižovatkou nebo v místě, kde se mění počet jízdních pruhů.
"Železniční přejezd":|A|je místo, kde se úrovňově kříží pozemní komunikace se železnicí, popřípadě s jinou dráhou ležící na samostatném tělese, a označené příslušnou dopravní značkou.|je místo, kde se úrovňově kříží pozemní komunikace se železnicí a příslušnou dopravní značkou se neoznačuje.|je místo, kde se úrovňově kříží pozemní komunikace se železnicí a je vždy označeno dopravní značkou "Stůj, dej přednost v jízdě".
"Železniční přejezd":|C|je místo, kde se mimoúrovňově kříží pozemní komunikace se železnicí, popřípadě s železniční vlečkou, označené dopravní značkou "Dej přednost v jízdě".|je místo, kde se při křížení s železnicí vždy užívá závor a zabezpečovacího zařízení.|je místo, kde se úrovňově kříží pozemní komunikace se železnicí, popřípadě s jinou dráhou ležící na samostatném tělese, a označené příslušnou dopravní značkou.
"Přechod pro chodce":|B|je místo na vozovce, určené pro přecházení chodců, které může být označeno dopravní značkou.|je místo na pozemní komunikaci určené pro přecházení chodců, vyznačené příslušnou dopravní značkou.|je místo vyznačené dopravními knoflíky, které může být doplněno symbolem kráčejícího chodce.
"Přechod pro chodce":|C|je místo na vozovce určené pro přecházení chodců, které však nesmějí k přecházení vozovky užívat osoby hluchoslepé.|je místo na pozemní komunikaci určené pro přecházení chodců, které vždy musí být řízeno světelnými signály.|je místo na pozemní komunikaci určené pro přecházení chodců, vyznačené příslušnou dopravní značkou.
"Přechod pro chodce":|A|je místo na pozemní komunikaci určené pro přecházení chodců, vyznačené příslušnou dopravní značkou.|je místo na pozemní komunikaci určené pro přecházení chodců, které nesmí být řízeno akustickými signály.|je místo na pozemní komunikaci určené pro přecházení chodců, které musí být vždy označeno přerušovaně svítícím světelným signálem ve tvaru kráčejícího chodce.
"Celostátní dopravní informační systém":|B|je systém, který obsahuje informace o dostupnosti rozhlasových stanic v okolí pozemní komunikace.|je systém, obsahující aktuální informace o situaci v provozu na pozemních komunikacích, které mají vliv na bezpečnost a plynulost provozu na pozemních komunikacích.|je systém informací o silničních kontrolách.
"Celostátní dopravní informační systém":|C|obsahuje pouze informace o situaci v provozu na dálnicích.|je systém, obsahující všeobecné informace o situaci v provozu na pozemních komunikacích, s výjimkou silnic II. třídy.|je systém, obsahující aktuální informace o situaci v provozu na pozemních komunikacích, které mají vliv na bezpečnost a plynulost provozu na pozemních komunikacích.
"Dát přednost v jízdě" znamená:|B|povinnost řidiče vždy zastavit vozidlo před hranicí křižovatky nebo před vjezdem na jinou pozemní komunikaci.|povinnost řidiče nezahájit jízdu nebo jízdní úkon nebo v nich nepokračovat, jestliže by řidič, který má přednost v jízdě, musel náhle změnit směr nebo rychlost jízdy.|povinnost řidiče nezahájit jízdu nebo jízdní úkon nebo v nich nepokračovat pouze pokud do křižovatky přijíždí vozidlo nebo tramvaj zprava.
Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:|B|Přibližně 160 stlačení za minutu.|Přibližně 100 stlačení za minutu.|Přibližně 200 stlačení za minutu.
Jak budete postupovat u zraněného v bezvědomí, který nedýchá a opakovaně se Vám nedaří uvolnit jeho dýchací cesty:|B|Budu pokračovat v opakovaných pokusech, dokud se mi to nepodaří.|Zahájím srdeční masáž.|Vzdám se jakékoliv dalších aktivit, protože jsou zbytečné.
Jak se zachováte při kolapsovém stavu, kdy postižený upadne a ztrácí vědomí?|B|ihned zahájím resuscitaci|zvednu nohy postiženého a zajistím volné dýchací cesty|postiženého posadím a zavolám záchranou službu
Kdy zahájíte zevní srdeční masáž:|B|jen pokud u poraněného nehmatám pulz|pokud je poraněný v hlubokém bezvědomí a nedýchá|pokud masivně krvácí
U dopravní nehody s poraněním voláme jako první:|C|hasiče (150)|policii (158)|záchrannou službu (155)
Poraněný se po dopravní nehodě domáhá tekutin, jak se zachováte:|B|poskytnu mu tekutiny v neomezeném množství|nedám mu napít ani přes jeho naléhání|mohu mu dát i najíst
Při umělém dýchání z plic do plic u dospělého:|B|dýchám frekvencí alespoň 20 vdechů/min a vždy se snažím o co největší vdech|dýchám úplně normálně frekvencí 6-8 vdechů/min, bez extrémního nádechu a vdechu do poraněného|vdechuji do plic poraněného jen obsah vzduchu ve svých ústech
Jak budete postupovat, jste-li sami a opakovaně se Vám nedaří zajistit dýchací cesty:|B|budu pokračovat v opakovaných pokusech, dokud se mi to nepodaří|přeruším snažení po 3-4 pokusech a zahájím zevní srdeční masáž|vzdám se jakékoliv další aktivity
U poraněného v hlubokém bezvědomí a bezdeší nastávají nezvratné změny mozkové tkáně do:|A|5 min.|10 min.|20 min.
Při poranění motorkáře, který je v bezvědomí a nedýchá:|B|nikdy nesundávám přilbu|je nejlepší vyproštění hlavy ve dvou zachráncích, kdy jeden pevně svírá hlavu poraněného a druhý opatrně sejme přilbu|mohu sejmout přilbu jakýmkoliv způsobem
Při úrazu hlavy s drobnějším viditelným krvácením nejvíce poraněného ohrožuje:|B|krvácení|následné bezvědomí při poranění mozkové tkáně|zlomeniny kostí lebky
Při provádění zevní srdeční masáže je správné stlačení hrudní kosti asi o:|A|4-5 cm u dospělého tj. na šířku dvou palců zachraňovaného|stačí 1-2 cm|8-10 cm
Jak budete postupovat u poraněného, který má po pádu z motocyklu zlomenou dolní končetinu a reaguje na oslovení:|A|zavolám pomoc, případně stabilizuji zlomeniny a do příjezdu ZS budu u poraněného nadále sledovat stav vědomí a dýchání|stabilizuji zlomeninu a teprve potom zavolám ZS|poraněného se nebudu vůbec dotýkat, aby nedošlo ke zhoršení jeho stavu
Poraněný je v bezvědomí, leží na zádech a zatím dýchá. Náhle začne zvracet. Jak budete postupovat:|B|nechám ho zvracet, nehrozí mu žádné nebezpečí|otočím mu hlavu na stranu a snažím se mu vyčistit dutinu ústní|nesmím mu pohnout hlavou (může mít poraněnou páteř) a nevadí, že může zvratky vdechnout do dýchacích cest
Hrozí trestní postih, pokud neposkytnete první pomoc:|A|ano|ne
Pokud vidíte, že účastník nehody masivně krvácí:|B|vrátím se k vlastnímu vozu a začnu hledat v lékárničce obvazový materiál|neprodleně krvácející místo stlačím prsty, dlaní nebo složeným kusem oděvu|krvácející místo nebudu ošetřovat, začnu poraněnému zajišťovat životní funkce tj. umělé dýchání, zevní srdeční masáž
Jak zjistíte stav vědomí pacienta:|A|oslovím ho, zkusím bolestivý podnět (štípnutí do ušního lalůčku)|zkusím bolestivý podnět ostrým předmětem|poraněného hlasitě oslovím a zkusím posadit
Jak jednoznačně zjistíte, že poraněný dýchá:|B|je růžový|při sklonění se k ústům poraněného slyším jeho dech a cítím ho na své tváři|nemá příznaky cyanózy
Jak zajistíte průchodnost dýchacích cest:|A|zakloním mírně hlavu a předsunu dolní čelist směrem vzhůru, event. vyčistím ústa od cizích těles(zvratků, krve..)|předkloním mu hlavu|chytnu jazyk poraněného a snažím se ho vytáhnout z dutiny ústní
Po zahájení resuscitace je nejdůležitější:|B|resuscitovat v přesně daném poměru 30:2|resuscitaci nepřerušovat do příjezdu ZS, obnovení dýchání nebo vlastního vyčerpání|pravidelně kontrolovat puls a dech poraněného
Jste svědek dopravní nehody, na místě jsou dva zranění, z nichž jeden je v bezvědomí, druhý při vědomí, ale výrazně krvácí. Jaký bude Váš postup?|B|nejdříve zjistím, zda poraněný v bezvědomí dýchá|neprodleně zastavím masivní krvácení, zjistím stav poraněného v bezvědomí, zavolám ZS a zajistím místo nehody|zajistím parkovací místo vozidlu ZS a vyčkám jeho příjezdu
Zjistíte, že poraněný má v ráně zabodnuté cizí těleso. Co uděláte?|B|snažím se těleso opatrně z rány vyndat a zastavit krvácení|těleso ponechám v ráně, ošetřím okolní krvácení, zajistím životní funkce|poraněného nemusím sledovat a kontrolovat, pouze přivolám ZS
Poraněný je při vědomí a velmi silně krvácí z rány na krku. Co uděláte?|B|vrátím se k vozu a začnu hledat v lékárničce vhodný obvazový materiál|neprodleně krvácející místo stlačím prsty, dlaní nebo složeným kusem oděvu|krvácející místo nebudu ošetřovat, začnu poraněnému zajišťovat životní funkce tj. umělé dýchání, zevní srdeční masáž
Poraněný je při vědomí a stěžuje si na silnou bolest v oblasti zad, eventuálně na brnění nebo necitlivost dolních končetin. Jaké by mohl mít poranění?|C|zlomeniny dolních končetin|poranění hrudníku|poranění páteře, při změně citlivosti také poranění míchy
Poraněný je v bezvědomí a dýchá. Jakou pomoc mu poskytnete?|A|mírně zakloním hlavu a předsunu dolní čelist, uvolním mu tak dýchací cesty a budu ho sledovat do příjezdu ZS, pokud dýchat přestane, ihned zahájím oživování|přivolám pouze ZS, pokud poraněný dýchá, nemusím ho dále sledovat|neprodleně zahájím srdeční masáž
Pro kvalitně prováděnou srdeční masáž je nejdůležitější|A|dostatečná hloubka stlačení hrudní kosti a frekvence.|jen frekvence.|jen hloubka stlačení hrudní kosti.
Křižovatka je místo:|A|V němž se pozemní komunikace protínají nebo spojují.|Kde se dva jízdní pruhy sbíhají v jeden, aniž by bylo zřejmé, který z nich je průběžný.|Vyústění účelové pozemní komunikace na jinou pozemní komunikaci.
V obci smí řidič vozidla o celkové hmotnosti nepřevyšující 3.500 kg zastavit a stát kolmo, popřípadě šikmo k okraji pozemní komunikace jen:|A|Nedojde-li k ohrožení bezpečnosti a plynulosti silničního provozu.|Zůstane-li při stání volný alespoň jeden pruh široký nejméně 2 m.|Zůstane-li při zastavení volný alespoň jeden jízdní pruh široký 2,5 m.
Vyžadují-li to okolnosti, zejména není-li znamení o změně směru jízdy dávané směrovými světly nebo paží dostatečně viditelné, například pro šířku nákladu, musí se dávat znamení o změně směru jízdy:|C|Společně se zvukovým výstražným znamením.|Pouze světelným a zvukovým výstražným znamením.|Jiným zřetelným způsobem, například způsobilou a náležitě poučenou osobou.
Řidič motorového vozidla, jehož celková hmotnost převyšuje 3 500 kg, smí v obci zastavit a stát:|C|i kolmo, popřípadě šikmo k okraji pozemní komunikace nebo zastavit v druhé řadě, pokud tím není ohrožena bezpečnost a plynulost provozu.|i kolmo, popřípadě šikmo k okraji pozemní komunikace. Ve druhé řadě smí řidič zastavit pouze řidič vozidla taxislužby.|vpravo ve směru jízdy co nejblíže k okraji pozemní komunikace a na jednosměrné pozemní komunikaci vpravo i vlevo, v jedné řadě a rovnoběžně s okrajem pozemní komunikace.
Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným, nebo dojde-li k dopravní nehodě, je řidič povinen:|C|Okamžitě zahájit opravu vozidla.|Neprodleně vyhledat místo určené k soustředění osob.|Neprodleně oznámit zastavení vozidla nebo stání vozidla policii nebo osobě vykonávající dohled nad provozem tunelu.
Je porušením zákona, pokud vozidlo svítí za normální, nesnížené viditelnosti pouze světly pro denní svícení?|A|Ne.|Ano.
Protiblokovací brzdový systém (ABS):|B|vždy zkracuje brzdnou dráhu vozidla.|zajišťuje ovladatelnost vozidla při brzdění.|nemění brzdnou dráhu, zvyšuje pouze ovladatelnost vozidla při brzdění.
Zjistí-li se při pravidelné technické prohlídce jedna "vážná závada" (stupně "B"), je vozidlo:|C|Nezpůsobilé k provozu.|Způsobilé k provozu na dobu 3 měsíců.|Způsobilé k provozu na dobu 30 dnů ode dne vyznačení zápisu výsledku technické prohlídky silničního vozidla v technickém průkazu vozidla.
Řidičské oprávnění skupiny C lze udělit jen žadateli, který je držitelem řidičského oprávnění skupiny:|B|A.|B.|T.
Řidičské oprávnění skupiny D lze udělit jen žadateli, který je držitelem řidičského oprávnění skupiny:|A|B|T|A
Zelená karta:|B|osvědčuje zaplacení ekologického poplatku.|Je mezinárodní osvědčení prokazující skutečnost, že k vozidlu byla uzavřena smlouva o pojištění odpovědnosti za škodu způsobenou provozem vozidla uvedeného v tomto osvědčení.|je doklad o kontrole měření emisí.
Povinností přepravované osoby je:|A|neohrožovat svým chováním bezpečnost provozu na pozemních komunikacích, zejména neomezovat řidiče v bezpečném ovládání vozidla.|pomáhat řidiči dle jeho pokynů v ovládání vozidla, zvláště pokud je to řidič začátečník.|informovat řidiče o situaci v provozu na pozemních komunikacích.
Řidič motorového vozidla musí mít při řízení u sebe:|B|cestovní mapu nebo autoatlas.|doklad prokazující pojištění odpovědnosti za škodu způsobenou provozem  vozidla.|doklad o uzavření havarijního pojištění.
